point_index,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,requested_velocity_percent,requested_acceleration_percent
199,-167.157198686,73.0469120788,200.061,-179.945,-0.097,93.6470081193,100,80
200,-166.524777069,72.607958173,200.061,-179.945,-0.097,94.6412561041,100,80
201,-165.884874929,72.1800308661,200.061,-179.945,-0.097,95.6355040889,100,80
202,-165.237684491,71.7632575909,200.061,-179.945,-0.097,96.6297520737,100,80
203,-164.583400146,71.3577624294,200.061,-179.945,-0.097,97.6240000585,100,80
204,-163.922218401,70.9636660765,200.061,-179.945,-0.097,98.6182480433,100,80
205,-163.254337813,70.5810858038,200.061,-179.945,-0.097,99.6124960281,100,80
206,-162.579958933,70.2101354245,200.061,-179.945,-0.097,100.606744013,100,80
207,-161.899284243,69.85092526,200.061,-179.945,-0.097,101.600991998,100,80
208,-161.212518099,69.5035621067,200.061,-179.945,-0.097,102.595239982,100,80
209,-160.519866667,69.1681492045,200.061,-179.945,-0.097,103.589487967,100,80
210,-159.821537861,68.844786206,200.061,-179.945,-0.097,104.583735952,100,80
211,-159.117741282,68.5335691468,200.061,-179.945,-0.097,105.577983937,100,80
212,-158.408688155,68.2345904175,200.061,-179.945,-0.097,106.572231922,100,80
213,-157.694591264,67.9479387354,200.061,-179.945,-0.097,107.566479906,100,80
214,-156.975664888,67.6736991189,200.061,-179.945,-0.097,108.560727891,100,80
215,-156.252124741,67.4119528622,200.061,-179.945,-0.097,109.554975876,100,80
216,-155.524187901,67.1627775109,200.061,-179.945,-0.097,110.549223861,100,80
217,-154.792072751,66.9262468393,200.061,-179.945,-0.097,111.543471846,100,80
218,-154.055998907,66.7024308282,200.061,-179.945,-0.097,112.53771983,100,80
219,-153.316187158,66.4913956448,200.061,-179.945,-0.097,113.531967815,100,80
220,-152.572859397,66.2932036227,200.061,-179.945,-0.097,114.5262158,100,80
221,-151.826238554,66.1079132436,200.061,-179.945,-0.097,115.520463785,100,80
222,-151.076548531,65.93557912,200.061,-179.945,-0.097,116.51471177,100,80
